"module name","license","repository"
"@vaadin/vaadin-button@2.4.0","Apache-2.0","https://github.com/vaadin/vaadin-button"
"@vaadin/vaadin-charts@7.0.0","Custom: https://badgen.net/npm/v/","https://github.com/vaadin/vaadin-charts"
"@vaadin/vaadin-checkbox@2.5.0","Apache-2.0","https://github.com/vaadin/vaadin-checkbox"
"@vaadin/vaadin-combo-box@5.4.1","Apache-2.0","https://github.com/vaadin/vaadin-combo-box"
"@vaadin/vaadin-confirm-dialog@1.3.0","Custom: https://travis-ci.org/vaadin/vaadin-confirm-dialog.svg","https://github.com/vaadin/vaadin-confirm-dialog"
"@vaadin/vaadin-context-menu@4.5.0","Apache-2.0","https://github.com/vaadin/vaadin-context-menu"
"@vaadin/vaadin-control-state-mixin@2.2.4","Apache-2.0","https://github.com/vaadin/vaadin-control-state-mixin"
"@vaadin/vaadin-cookie-consent@1.2.0","Custom: https://travis-ci.org/vaadin/vaadin-cookie-consent.svg","https://github.com/vaadin/vaadin-cookie-consent"
"@vaadin/vaadin-core@15.0.6","Apache-2.0",""
"@vaadin/vaadin-crud@1.3.0","Custom: https://badgen.net/npm/v/","https://github.com/vaadin/vaadin-crud"
"@vaadin/vaadin-custom-field@1.3.0","Apache-2.0","https://github.com/vaadin/vaadin-custom-field"
"@vaadin/vaadin-date-picker@4.4.0","Apache-2.0","https://github.com/vaadin/vaadin-date-picker"
"@vaadin/vaadin-details@1.2.0","Apache-2.0","https://github.com/vaadin/vaadin-details"
"@vaadin/vaadin-development-mode-detector@2.0.4","Apache-2.0","https://github.com/vaadin/vaadin-development-mode-detector"
"@vaadin/vaadin-dialog@2.5.2","Apache-2.0","https://github.com/vaadin/vaadin-dialog"
"@vaadin/vaadin-dropdown-menu@1.2.0","Apache-2.0","https://github.com/vaadin/vaadin-dropdown-menu"
"@vaadin/vaadin-element-mixin@2.4.2","Apache-2.0","https://github.com/vaadin/vaadin-element-mixin"
"@vaadin/vaadin-form-layout@2.3.0","Apache-2.0","https://github.com/vaadin/vaadin-form-layout"
"@vaadin/vaadin-grid-pro@2.2.2","Apache*","https://github.com/vaadin/vaadin-grid-pro"
"@vaadin/vaadin-grid@5.7.4","Apache-2.0","https://github.com/vaadin/vaadin-grid"
"@vaadin/vaadin-icons@4.3.1","Apache-2.0","https://github.com/vaadin/vaadin-icons"
"@vaadin/vaadin-item@2.3.0","Apache-2.0","https://github.com/vaadin/vaadin-item"
"@vaadin/vaadin-license-checker@2.1.2","Apache-2.0","https://github.com/vaadin/license-checker"
"@vaadin/vaadin-list-box@1.4.0","Apache-2.0","https://github.com/vaadin/vaadin-list-box"
"@vaadin/vaadin-list-mixin@2.4.1","Apache-2.0","https://github.com/vaadin/vaadin-list-mixin"
"@vaadin/vaadin-login@1.2.0","Apache-2.0","https://github.com/vaadin/vaadin-login"
"@vaadin/vaadin-lumo-styles@1.6.0","Apache-2.0","https://github.com/vaadin/vaadin-lumo-styles"
"@vaadin/vaadin-material-styles@1.3.2","Apache-2.0","https://github.com/vaadin/vaadin-material-styles"
"@vaadin/vaadin-menu-bar@1.2.0","Apache-2.0","https://github.com/vaadin/vaadin-menu-bar"
"@vaadin/vaadin-notification@1.6.0","Apache-2.0","https://github.com/vaadin/vaadin-notification"
"@vaadin/vaadin-ordered-layout@1.4.0","Apache-2.0","https://github.com/vaadin/vaadin-ordered-layout"
"@vaadin/vaadin-overlay@3.5.1","Apache-2.0","https://github.com/vaadin/vaadin-overlay"
"@vaadin/vaadin-progress-bar@1.3.0","Apache-2.0","https://github.com/vaadin/vaadin-progress-bar"
"@vaadin/vaadin-radio-button@1.5.1","Apache-2.0","https://github.com/vaadin/vaadin-radio-button"
"@vaadin/vaadin-rich-text-editor@1.3.0","Custom: https://badgen.net/npm/v/","https://github.com/vaadin/vaadin-rich-text-editor"
"@vaadin/vaadin-select@2.4.0","Apache-2.0","https://github.com/vaadin/vaadin-select"
"@vaadin/vaadin-split-layout@4.3.0","Apache-2.0","https://github.com/vaadin/vaadin-split-layout"
"@vaadin/vaadin-tabs@3.2.0","Apache-2.0","https://github.com/vaadin/vaadin-tabs"
"@vaadin/vaadin-text-field@2.8.1","Apache-2.0","https://github.com/vaadin/vaadin-text-field"
"@vaadin/vaadin-themable-mixin@1.6.1","Apache-2.0","https://github.com/vaadin/vaadin-themable-mixin"
"@vaadin/vaadin-time-picker@2.4.0","Apache-2.0","https://github.com/vaadin/vaadin-time-picker"
"@vaadin/vaadin-upload@4.4.0","Apache-2.0","https://github.com/vaadin/vaadin-upload"
"@vaadin/vaadin-usage-statistics@2.1.0","Apache-2.0","https://github.com/vaadin/vaadin-usage-statistics"
"@vaadin/vaadin@17.0.6","Apache*",""
"@webcomponents/shadycss@1.10.1","BSD-3-Clause","https://github.com/webcomponents/polyfills"
"@webcomponents/webcomponentsjs@2.4.4","BSD-3-Clause","https://github.com/webcomponents/polyfills"
"d3-array@1.2.4","BSD-3-Clause","https://github.com/d3/d3-array"
"d3-axis@1.0.12","BSD-3-Clause","https://github.com/d3/d3-axis"
"d3-brush@1.1.6","BSD-3-Clause","https://github.com/d3/d3-brush"
"d3-chord@1.0.6","BSD-3-Clause","https://github.com/d3/d3-chord"
"d3-collection@1.0.7","BSD-3-Clause","https://github.com/d3/d3-collection"
"d3-color@1.4.1","BSD-3-Clause","https://github.com/d3/d3-color"
"d3-contour@1.3.2","BSD-3-Clause","https://github.com/d3/d3-contour"
"d3-dispatch@1.0.6","BSD-3-Clause","https://github.com/d3/d3-dispatch"
"d3-drag@1.2.5","BSD-3-Clause","https://github.com/d3/d3-drag"
"d3-dsv@1.2.0","BSD-3-Clause","https://github.com/d3/d3-dsv"
"d3-ease@1.0.7","BSD-3-Clause","https://github.com/d3/d3-ease"
"d3-fetch@1.2.0","BSD-3-Clause","https://github.com/d3/d3-fetch"
"d3-force@1.2.1","BSD-3-Clause","https://github.com/d3/d3-force"
"d3-format@1.4.5","BSD-3-Clause","https://github.com/d3/d3-format"
"d3-geo@1.12.1","BSD-3-Clause","https://github.com/d3/d3-geo"
"d3-hierarchy@1.1.9","BSD-3-Clause","https://github.com/d3/d3-hierarchy"
"d3-interpolate@1.4.0","BSD-3-Clause","https://github.com/d3/d3-interpolate"
"d3-path@1.0.9","BSD-3-Clause","https://github.com/d3/d3-path"
"d3-polygon@1.0.6","BSD-3-Clause","https://github.com/d3/d3-polygon"
